year,basket_cost,avg_weekly_wage,monthly_wage_approx,basket_pct_of_monthly_wage,avg_hourly_wage,hours_to_buy_basket
2020,96.73636363636363,1050.5,4552.17,2.13,27.5,3.52
2021,101.06833333333333,1093.22,4737.29,2.13,28.39,3.56
2022,114.06583333333333,1133.8,4913.13,2.32,29.53,3.86
2023,122.47333333333334,1180.44,5115.24,2.39,30.1,4.07
2024,124.06,1224.91,5307.94,2.34,30.88,4.02
2025,125.6175,1262.0,5468.67,2.3,31.5,3.99
2026,124.845,1262.0,5468.67,2.28,31.5,3.96
